state,x,y
Andhra Pradesh,-73.0,-177.0
Arunachal Pradesh,261.0,161.0
Assam,246.0,111.0
Bihar,60.0,80.0
Chhattisgarh,-2.0,-12.0
Goa,-197.0,-173.0
Gujarat,-239.0,30.0
Haryana,-132.0,173.0
Himachal Pradesh,-111.0,227.0
Jharkhand,62.0,20.0
Karnataka,-142.0,-207.0
Kerala,-154.0,-272.0
Madhya Pradesh,-97.0,25.0
Maharashtra,-166.0,-86.0
Manipur,254.0,62.0
Meghalaya,192.0,76.0
Mizoram,239.0,33.0
Nagaland,269.0,102.0
Odisha,51.0,-51.0
Punjab,-144.0,194.0
Rajasthan,-206.0,111.0
Sikkim,130.0,130.0
Tamil Nadu,-81.0,-278.0
Telangana,-81.0,-122.0
Tripura,207.0,36.0
Uttar Pradesh,-37.0,107.0
Uttarakhand,-64.0,181.0
West Bengal,128.0,17.0
